Gebied;Gebiedscode;Gemeente;Jaar;Leeftijdsgroep;Aantal
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2007;0-17;196
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2007;0-17;58
Buurt 50   Schreurserve;BU01530500;Enschede;2007;0-17;464
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2007;0-17;380
Buurt 52   Park Stokhorst;BU01530502;Enschede;2007;0-17;769
Buurt 53   Stokhorst;BU01530503;Enschede;2007;0-17;195
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2007;0-17;829
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2007;0-17;1167
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2007;0-17;523
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2007;0-17;928
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2007;0-17;967
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2007;0-17;558
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2007;0-17;1379
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2007;0-17;1123
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2007;0-17;1143
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2007;0-17;46
Buurt 71   Marssteden;BU01530701;Enschede;2007;0-17;12
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2007;0-17;3
Buurt 73   Kennispark;BU01530703;Enschede;2007;0-17;3
Buurt 80   Glanerveld;BU01530800;Enschede;2007;0-17;260
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2007;0-17;684
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2007;0-17;709
Buurt 83   Eekmaat;BU01530803;Enschede;2007;0-17;317
Buurt 84   Oikos;BU01530804;Enschede;2007;0-17;701
Buurt 85   Eilermarke;BU01530805;Enschede;2007;0-17;604
Buurt 86   De Slank;BU01530806;Enschede;2007;0-17;55
Buurt 87   Dolphia;BU01530807;Enschede;2007;0-17;144
Buurt 88   Eekmaat West;BU01530808;Enschede;2007;0-17;880
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2007;0-17;357
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2007;0-17;432
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2007;0-17;236
Buurt 93   Noord Esmarke;BU01530903;Enschede;2007;0-17;75
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2007;0-17;50
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2007;0-17;290
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2007;0-17;51
Buurt 97   Boekelerveld;BU01530907;Enschede;2007;0-17;162
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2007;0-17;48
Buurt 00   City;BU01530000;Enschede;2008;0-17;62
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2008;0-17;175
Buurt 02   De Laares;BU01530002;Enschede;2008;0-17;301
Buurt 03   De Bothoven;BU01530003;Enschede;2008;0-17;471
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2008;0-17;391
Buurt 05   Getfert;BU01530005;Enschede;2008;0-17;487
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2008;0-17;332
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2008;0-17;279
Buurt 08   Boddenkamp;BU01530008;Enschede;2008;0-17;53
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2008;0-17;939
Buurt 11   Wooldrik;BU01530101;Enschede;2008;0-17;250
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2008;0-17;532
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2008;0-17;779
Buurt 14   Sleutelkamp;BU01530104;Enschede;2008;0-17;29
Buurt 15   't Weldink;BU01530105;Enschede;2008;0-17;1
Buurt 16   De Leuriks;BU01530106;Enschede;2008;0-17;33
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2008;0-17;412
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2008;0-17;728
Buurt 22   Pathmos;BU01530202;Enschede;2008;0-17;424
Buurt 23   Stevenfenne;BU01530203;Enschede;2008;0-17;962
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2008;0-17;263
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2008;0-17;528
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2008;0-17;428
Buurt 27   't Zwering;BU01530207;Enschede;2008;0-17;692
Buurt 28   Ruwenbos;BU01530208;Enschede;2008;0-17;531
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2008;0-17;902
Buurt 31   Twekkelerveld;BU01530301;Enschede;2008;0-17;641
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2008;0-17;471
Buurt 41   Bolhaar;BU01530401;Enschede;2008;0-17;295
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2008;0-17;768
Buurt 43   Mekkelholt;BU01530403;Enschede;2008;0-17;318
